name,link,category,price,image_url
OG Cup 2.0 | 500ml,https://shop.zuscoffee.com/products/zus-og-cup-2-0-with-screw-on-lid,Tumbler,Sale priceRM79.00,https://shop.zuscoffee.com/cdn/shop/files/68_388ac863-1561-4987-a2e0-7e9cb80b0713.png?v=1753513246&width=1080
All-Can Tumbler | 600ml,https://shop.zuscoffee.com/products/zus-all-can-tumbler-600ml-20oz,Tumbler,Sale priceRM105.00,https://shop.zuscoffee.com/cdn/shop/files/17_edfa40ee-a548-49be-a992-c0dd53de0357.png?v=1753288138&width=1080
All Day Cup Sundaze | 500ml,https://shop.zuscoffee.com/products/all-day-cup-500ml-17oz-sundaze-collection,Tumbler,Sale pricefrom RM55.30,https://shop.zuscoffee.com/cdn/shop/files/32_1a32d8a2-e8c7-4f0f-a236-dd549f2b71ba.png?v=1730622751&width=1080
All Day Cup | 500ml,https://shop.zuscoffee.com/products/all-day-cup-500ml-17oz,Tumbler,Sale priceRM79.00,https://shop.zuscoffee.com/cdn/shop/files/6_530fdc3b-8a26-4c17-a191-b294adbe3a40.png?v=1761905222&width=1080
Frozee Cold Cup | 650ml,https://shop.zuscoffee.com/products/frozee-cold-cup-650ml-22oz,Tumbler,Sale pricefrom RM38.50,https://shop.zuscoffee.com/cdn/shop/files/FINAL_DONE_Shopify_-_Product_Listing_Cover_45.png?v=1762496286&width=1080
OG Ceramic Mug | 470ml,https://shop.zuscoffee.com/products/zus-og-ceramic-mug-470ml,Mugs,Sale priceRM39.00,https://shop.zuscoffee.com/cdn/shop/files/2_ade9cdc4-083d-4e9c-bff5-dd6231da2ca1.png?v=1728147514&width=1080
All Day Cup Mountain | 500ml,https://shop.zuscoffee.com/products/all-day-cup-500ml-17oz-mountain-collection,Tumbler,Sale priceRM79.00,https://shop.zuscoffee.com/cdn/shop/files/89_b6e6c807-9a8c-4ab6-b6a7-5f612ef68ae9.png?v=1753429509&width=1080
All Day Cup Aqua | 500ml,https://shop.zuscoffee.com/products/all-day-cup-500ml-17oz-aqua-collection,Tumbler,Sale priceRM79.00,https://shop.zuscoffee.com/cdn/shop/files/95.png?v=1753429577&width=1080
Stainless Steel Mug | 420ml,https://shop.zuscoffee.com/products/zus-stainless-steel-mug-420ml,Mugs,Sale priceRM59.00,https://shop.zuscoffee.com/cdn/shop/files/396.png?v=1738069660&width=1080
All Day Cup Corak (Tiga Sekawan Bundle) | 500ml,https://shop.zuscoffee.com/products/corak-malaysia-tiga-sekawan-bundle,Tumbler,Sale priceRM100.40,https://shop.zuscoffee.com/cdn/shop/files/56_c560d111-848b-4440-94af-87da85029dc8.png?v=1746785838&width=1080
Denim Tote Bag,https://shop.zuscoffee.com/products/zus-denim-tote-bag,Accessories,Sale priceRM19.40,https://shop.zuscoffee.com/cdn/shop/files/50_e8950e60-34d8-4bc5-b0fb-498e96a089d3.png?v=1744967889&width=1080
CNY Fridge Magnet - Full Set - 6's,https://shop.zuscoffee.com/products/zus-cny-fridge-magnet-full-set-6s,Collectibles,Sale priceRM48.00,https://shop.zuscoffee.com/cdn/shop/files/358_46028f70-ac2c-49f3-a9bf-6d90ff884502.png?v=1734945566&width=1080
ZUS Ngupi® Glass Food Container,https://shop.zuscoffee.com/products/ngupi-glass-food-container,Collectibles,Sale priceRM23.00,https://shop.zuscoffee.com/cdn/shop/files/29_3bc13eb1-a182-4899-97a9-daf4bec70c3a.png?v=1743658974&width=1080
All Day Cup Sunset | 500ml,https://shop.zuscoffee.com/products/all-day-cup-500ml-17oz-sunset-collection,Tumbler,Sale priceRM79.00,https://shop.zuscoffee.com/cdn/shop/files/101_ae3bf749-ffad-455d-8a99-581e0f3676fe.png?v=1753429633&width=1080
All Day Cup Sunrise | 500ml,https://shop.zuscoffee.com/products/all-day-cup-500ml-17oz-sunrise-collection,Tumbler,Sale priceRM79.00,https://shop.zuscoffee.com/cdn/shop/files/105_d6c41c27-dbcf-4fa9-b643-96e8a6a50686.png?v=1753105046&width=1080
[Corak Malaysia] All Day Cup,https://shop.zuscoffee.com/products/corak-malaysia-all-day-cup,Tumbler,Sale priceRM79.00,https://shop.zuscoffee.com/cdn/shop/files/202_780b57c4-d112-493c-a83b-7b7ae9230e31.png?v=1763889731&width=1080
[Corak Malaysia] Dwi Sejoli,https://shop.zuscoffee.com/products/corak-malaysia-dwi-sejoli,Tumbler,Sale priceRM112.00,https://shop.zuscoffee.com/cdn/shop/files/210_3d6534ce-c024-4be6-8a0b-c16aca0f3240.png?v=1763889790&width=1080
[Corak Malaysia] Triloka Warisan,https://shop.zuscoffee.com/products/corak-malaysia-triloka-warisan,Tumbler,Sale pricefrom RM111.00,https://shop.zuscoffee.com/cdn/shop/files/209_464c97a0-a745-419a-8cd0-2a007684dd2d.png?v=1757264365&width=1080
[Corak Malaysia] Dwi Lestari,https://shop.zuscoffee.com/products/corak-malaysia-dwi-lestari,Tumbler,Sale priceRM112.00,https://shop.zuscoffee.com/cdn/shop/files/206_7e55021b-477b-4bfc-b40c-7aca56107a36.png?v=1763889513&width=1080
All Day Cup Classic | 500ml,https://shop.zuscoffee.com/products/all-day-cup-classic-500ml,Tumbler,Sale pricefrom RM79.00,https://shop.zuscoffee.com/cdn/shop/files/115_b52f3ba0-b2c8-42bd-a711-904c9afd62cc.png?v=1759988657&width=1080
Stainless Steel Frozee | 650ml,https://shop.zuscoffee.com/products/stainless-steel-frozee-650ml,Tumbler,Sale priceRM75.00,https://shop.zuscoffee.com/cdn/shop/files/281.png?v=1763282439&width=1080
Icy Cool Duo,https://shop.zuscoffee.com/products/icy-cool-duo-zus-stainless-steel-frozee-650ml-zus-buddy-reusable-straw-set,,Sale priceRM108.00,https://shop.zuscoffee.com/cdn/shop/files/288_4d70e22d-f45f-4b34-8274-dc250f9ef2db.png?v=1763365517&width=1080
